#step	logL
0	-205.473
34	-208.738
68	-202.829
102	-197.387
136	-203.024
170	-202.781
204	-207.799
238	-208.908
272	-203.588
306	-210.403
340	-199.555
374	-201.368
408	-207.135
442	-205.081
476	-199.566
510	-201.088
544	-200.773
578	-205.936
612	-205.303
646	-212.808
680	-203.35
714	-205.668
748	-197.939
782	-197.997
816	-189.013
850	-191.257
884	-203.627
918	-208.85
952	-204.502
986	-208.163
1020	-213.031
1054	-210.165
1088	-215.575
1122	-212.851
1156	-203.608
1190	-204.723
1224	-190.711
1258	-196.452
1292	-197.741
1326	-197.839
1360	-208.656
1394	-196.481
1428	-195.269
1462	-203.811
1496	-200.744
1530	-193.223
1564	-198.288
1598	-207.753
1632	-195.531
1666	-203.152
1700	-189.189
1734	-191.88
1768	-196.572
1802	-190.343
1836	-197.412
1870	-196.957
1904	-199.068
1938	-189.336
1972	-190.797
2006	-195.178
2040	-200.629
2074	-196.646
2108	-190.224
2142	-194.655
2176	-197.146
2210	-190.005
2244	-188.483
2278	-189.244
2312	-196.986
2346	-191.577
2380	-189.833
2414	-193.561
2448	-200.345
2482	-197.31
2516	-194.736
2550	-203.809
2584	-194.022
2618	-187.381
2652	-195.697
2686	-202.17
2720	-202.165
2754	-200.849
2788	-206.198
2822	-198.866
2856	-201.727
2890	-204.664
2924	-201.877
2958	-197.238
2992	-200.938
3026	-215.495
3060	-208.01
3094	-205.501
3128	-208.022
3162	-203.471
3196	-211.752
3230	-211.02
3264	-206.725
3298	-206.227
3332	-208.261
3366	-204.299
3400	-206.101
3434	-207.453
3468	-213.83
3502	-204.815
3536	-205.206
3570	-205.641
3604	-203.387
3638	-206.271
3672	-208.41
3706	-206.883
3740	-207.582
3774	-213.426
3808	-209.985
3842	-212.51
3876	-211.844
3910	-202.348
3944	-207.942
3978	-208.446
4012	-205.336
4046	-211.047
4080	-194.034
4114	-186.349
4148	-189.838
4182	-186.239
4216	-189.939
4250	-177.266
4284	-180.998
4318	-168.351
4352	-176.988
4386	-178.675
4420	-178.632
4454	-180.122
4488	-189.168
4522	-189.127
4556	-176.241
4590	-194.394
4624	-180.936
4658	-182.643
4692	-186.543
4726	-196.437
4760	-196.042
4794	-194.195
4828	-193.981
4862	-196.573
4896	-207.743
4930	-206.749
4964	-209.482
4998	-206.104
5032	-203.411
5066	-204.302
5100	-207.442
5134	-202.933
5168	-196.594
5202	-200.115
5236	-200.023
5270	-210.287
5304	-206.737
5338	-203.616
5372	-208.292
5406	-210.049
5440	-209.206
5474	-205.056
5508	-207.752
5542	-202.881
5576	-208.023
5610	-205.806
5644	-204.767
5678	-205.528
5712	-200.835
5746	-204.116
5780	-202.174
5814	-200.843
5848	-199.211
5882	-196.698
5916	-198.658
5950	-200.698
5984	-199.364
6018	-195.323
6052	-192.617
6086	-199.869
6120	-197.775
6154	-201.56
6188	-204.898
6222	-206.206
6256	-205.599
6290	-204.374
6324	-204.666
6358	-200.28
6392	-202.913
6426	-202.441
6460	-204.398
6494	-205.804
6528	-202.891
6562	-199.315
6596	-202.216
6630	-201.997
6664	-200.838
6698	-213.487
6732	-212.641
6766	-211.853
6800	-214.325
6834	-213.909
6868	-208.584
6902	-206.487
6936	-206.816
6970	-211.143
7004	-209.605
7038	-206.665
7072	-203.338
7106	-204.02
7140	-205.128
7174	-206.228
7208	-208.721
7242	-208.801
7276	-206.173
7310	-206.863
7344	-204.613
7378	-201.744
7412	-196.88
7446	-194.14
7480	-181.912
7514	-184.601
7548	-190.589
7582	-194.276
